file;run;n;m;objective;time
ta51.txt;0;50;20;3873;71
ta51.txt;1;50;20;3884;44
ta51.txt;2;50;20;3868;61
ta51.txt;3;50;20;3893;55
ta51.txt;4;50;20;3884;45
ta51.txt;5;50;20;3869;44
ta51.txt;6;50;20;3887;52
ta51.txt;7;50;20;3882;36
ta51.txt;8;50;20;3872;55
ta51.txt;9;50;20;3874;69
ta51.txt;10;50;20;3889;51
ta51.txt;11;50;20;3865;59
ta51.txt;12;50;20;3882;73
ta51.txt;13;50;20;3866;64
ta51.txt;14;50;20;3887;56
ta51.txt;15;50;20;3868;64
ta51.txt;16;50;20;3882;64
ta51.txt;17;50;20;3893;42
ta51.txt;18;50;20;3873;55
ta51.txt;19;50;20;3890;46
ta52.txt;0;50;20;3713;63
ta52.txt;1;50;20;3715;43
ta52.txt;2;50;20;3715;45
ta52.txt;3;50;20;3715;54
ta52.txt;4;50;20;3716;67
ta52.txt;5;50;20;3714;44
ta52.txt;6;50;20;3716;55
ta52.txt;7;50;20;3722;57
ta52.txt;8;50;20;3714;54
ta52.txt;9;50;20;3714;41
ta52.txt;10;50;20;3715;48
ta52.txt;11;50;20;3715;63
ta52.txt;12;50;20;3726;51
ta52.txt;13;50;20;3715;44
ta52.txt;14;50;20;3715;59
ta52.txt;15;50;20;3714;59
ta52.txt;16;50;20;3714;62
ta52.txt;17;50;20;3714;65
ta52.txt;18;50;20;3717;45
ta52.txt;19;50;20;3714;60
ta53.txt;0;50;20;3660;68
ta53.txt;1;50;20;3671;73
ta53.txt;2;50;20;3659;68
ta53.txt;3;50;20;3660;70
ta53.txt;4;50;20;3672;95
ta53.txt;5;50;20;3681;48
ta53.txt;6;50;20;3665;58
ta53.txt;7;50;20;3656;56
ta53.txt;8;50;20;3666;52
ta53.txt;9;50;20;3678;34
ta53.txt;10;50;20;3658;70
ta53.txt;11;50;20;3674;42
ta53.txt;12;50;20;3663;94
ta53.txt;13;50;20;3665;67
ta53.txt;14;50;20;3658;93
ta53.txt;15;50;20;3661;51
ta53.txt;16;50;20;3674;42
ta53.txt;17;50;20;3666;53
ta53.txt;18;50;20;3646;66
ta53.txt;19;50;20;3662;69
ta54.txt;0;50;20;3749;57
ta54.txt;1;50;20;3743;60
ta54.txt;2;50;20;3739;86
ta54.txt;3;50;20;3739;59
ta54.txt;4;50;20;3753;42
ta54.txt;5;50;20;3748;60
ta54.txt;6;50;20;3745;50
ta54.txt;7;50;20;3748;71
ta54.txt;8;50;20;3748;36
ta54.txt;9;50;20;3741;57
ta54.txt;10;50;20;3751;55
ta54.txt;11;50;20;3744;75
