file;run;n;m;objective;time
ta51.txt;0;50;20;6129;8
ta51.txt;1;50;20;6129;8
ta51.txt;2;50;20;6129;8
ta51.txt;3;50;20;6129;6
ta51.txt;4;50;20;6129;10
ta51.txt;5;50;20;6129;12
ta51.txt;6;50;20;6129;8
ta51.txt;7;50;20;6129;8
ta51.txt;8;50;20;6129;12
ta51.txt;9;50;20;6129;10
ta51.txt;10;50;20;6129;10
ta51.txt;11;50;20;6129;10
ta51.txt;12;50;20;6129;8
ta51.txt;13;50;20;6129;10
ta51.txt;14;50;20;6129;6
ta51.txt;15;50;20;6129;8
ta51.txt;16;50;20;6129;8
ta51.txt;17;50;20;6129;7
ta51.txt;18;50;20;6129;8
ta51.txt;19;50;20;6129;8
ta52.txt;0;50;20;5725;10
ta52.txt;1;50;20;5725;10
ta52.txt;2;50;20;5725;10
ta52.txt;3;50;20;5725;8
ta52.txt;4;50;20;5728;8
ta52.txt;5;50;20;5729;6
ta52.txt;6;50;20;5725;10
ta52.txt;7;50;20;5725;8
ta52.txt;8;50;20;5725;8
ta52.txt;9;50;20;5730;8
ta52.txt;10;50;20;5725;8
ta52.txt;11;50;20;5730;8
ta52.txt;12;50;20;5725;10
ta52.txt;13;50;20;5725;6
ta52.txt;14;50;20;5725;10
ta52.txt;15;50;20;5725;10
ta52.txt;16;50;20;5725;6
ta52.txt;17;50;20;5725;10
ta52.txt;18;50;20;5725;8
ta52.txt;19;50;20;5725;10
ta53.txt;0;50;20;5862;10
ta53.txt;1;50;20;5873;8
ta53.txt;2;50;20;5862;8
ta53.txt;3;50;20;5873;17
ta53.txt;4;50;20;5862;8
ta53.txt;5;50;20;5873;14
ta53.txt;6;50;20;5862;12
ta53.txt;7;50;20;5873;8
ta53.txt;8;50;20;5873;6
ta53.txt;9;50;20;5873;16
ta53.txt;10;50;20;5873;12
ta53.txt;11;50;20;5862;7
ta53.txt;12;50;20;5862;16
ta53.txt;13;50;20;5873;12
ta53.txt;14;50;20;5862;8
ta53.txt;15;50;20;5862;8
ta53.txt;16;50;20;5873;8
ta53.txt;17;50;20;5873;10
ta53.txt;18;50;20;5862;16
ta53.txt;19;50;20;5868;14
ta54.txt;0;50;20;5788;13
ta54.txt;1;50;20;5788;7
ta54.txt;2;50;20;5788;14
ta54.txt;3;50;20;5788;18
ta54.txt;4;50;20;5788;12
ta54.txt;5;50;20;5788;12
ta54.txt;6;50;20;5788;12
ta54.txt;7;50;20;5788;12
ta54.txt;8;50;20;5788;12
ta54.txt;9;50;20;5788;10
ta54.txt;10;50;20;5788;8
ta54.txt;11;50;20;5788;8
ta54.txt;12;50;20;5788;12
ta54.txt;13;50;20;5790;10
ta54.txt;14;50;20;5788;10
ta54.txt;15;50;20;5788;8
ta54.txt;16;50;20;5788;12
ta54.txt;17;50;20;5788;10
ta54.txt;18;50;20;5788;8
ta54.txt;19;50;20;5788;12
ta55.txt;0;50;20;5886;8
ta55.txt;1;50;20;5886;14
ta55.txt;2;50;20;5886;8
ta55.txt;3;50;20;5886;10
ta55.txt;4;50;20;5886;10
ta55.txt;5;50;20;5886;12
ta55.txt;6;50;20;5886;6
ta55.txt;7;50;20;5886;12
ta55.txt;8;50;20;5886;8
ta55.txt;9;50;20;5892;10
ta55.txt;10;50;20;5886;10
ta55.txt;11;50;20;5886;8
ta55.txt;12;50;20;5886;8
ta55.txt;13;50;20;5887;8
ta55.txt;14;50;20;5886;8
ta55.txt;15;50;20;5886;10
ta55.txt;16;50;20;5886;10
ta55.txt;17;50;20;5886;6
ta55.txt;18;50;20;5886;15
ta55.txt;19;50;20;5886;10
ta56.txt;0;50;20;5875;10
ta56.txt;1;50;20;5869;14
ta56.txt;2;50;20;5875;10
ta56.txt;3;50;20;5870;24
